Time RV eRV BIS FWHM Contrast
53760.83563871 -15.83584787 2.09713967 -8.45476000 3058.30800430 32.41494991
53761.84049526 16.08166048 2.15323718 -4.55563090 3053.71490729 32.40181365
53762.82794476 -9.47474527 1.42777737 -7.42443328 3052.83596832 32.43057790
53763.84191244 -12.02407983 1.41983305 -9.33210729 3054.94353200 32.42365807
53765.80399744 -16.97187971 1.58748531 -9.16073939 3055.41683434 32.45954580
53785.76109357 18.76599602 1.51126226 -10.43809098 3056.68465807 32.42913452
53788.77929788 8.35216841 1.36116142 -7.76322321 3053.68521141 32.47952750
54122.84293795 -16.12693878 1.38786977 -5.26055154 3052.52666094 32.42123861
54135.83231508 -12.72283264 1.37528409 -9.05143037 3057.55184537 32.30470717
54140.82183693 -3.77474167 1.76131612 -6.91035638 3056.55741087 32.40913195
54142.83014478 16.23527536 1.38981190 -9.92377468 3058.49018537 32.35483698
54166.75081543 12.84159742 2.13131002 -8.43449214 3049.73627172 32.19951096
54172.74285451 -9.58749261 1.66007988 -7.86756272 3053.49916305 32.41766221
54194.70888740 -11.51574362 2.42236808 -11.66558898 3054.00958838 32.15944398
54197.67733909 -6.21370805 2.00590035 -7.91005201 3054.93280961 32.35274356
54199.67082702 -18.73114422 1.56293696 -9.61146766 3051.60444201 32.45672231
54202.66407780 -15.41235736 1.49083841 -6.79723561 3055.01096819 32.42678620
54228.58273244 -8.70645879 1.71465586 -8.74564293 3057.50655419 32.35899081
54230.48563625 4.80314620 2.14899199 -5.19103565 3054.30669600 32.34370457
54230.49502015 6.26382180 2.46412051 -9.16411541 3050.39047349 32.31797010
54230.50123052 2.00158898 4.00886668 -9.77889972 3059.66455499 32.18907360
54230.50499130 -2.52422093 3.84877499 -2.83418491 3051.53123947 32.18983675
54230.50888959 -0.44665358 3.45369782 -9.11130182 3059.42531018 32.15817061
54230.51268198 1.84077619 3.23990265 -12.46792849 3062.02489652 32.13869391
54230.51640315 3.87846350 3.65000388 -10.73370879 3051.24894981 32.20626288
54230.52026716 4.40867567 3.60724234 -9.98128821 3057.76288379 32.18288897
54230.52419957 9.67100313 6.25299382 -16.87330785 3061.43826002 31.81883236
54230.52802968 7.79803379 4.48506803 -10.65121639 3064.74823538 31.96168785
54230.53189245 5.87567433 3.59047806 -7.95448437 3063.62498538 32.17137008
54230.53554812 5.66765348 3.10575416 -11.21500577 3054.28772351 32.29783075
54230.53937755 2.48634195 3.02235915 -8.13309218 3055.27164375 32.20501352
54230.54334768 4.64221829 2.99684817 -12.95723880 3055.81991966 32.24483138
54230.54707363 -4.03673202 3.04877545 -4.41843813 3061.20510464 32.19336853
54230.55097572 -0.76882223 2.98088507 -11.40054354 3055.16942039 32.24516856
54230.55487559 7.26953043 3.11434675 -17.17283256 3048.98654402 32.16334868
54230.55870939 1.21684219 2.75613190 -4.85509934 3048.31135731 32.25720059
54230.56246740 3.60431542 2.65312045 -10.69992642 3062.11606445 32.31563129
54230.56636823 -3.03240309 2.85464553 -4.42807019 3059.57996956 32.27287426
54230.57006006 5.89800095 2.85393762 -9.09270114 3060.07229659 32.25256605
54230.57399479 0.31223298 2.38889327 -7.70486145 3052.08808527 32.38637865
54230.57772050 4.90897029 2.45208249 -9.41427575 3054.35843952 32.34410699
54230.58148566 6.32384428 2.93770828 -7.72854291 3057.85249230 32.22476489
54230.58541829 1.49848794 2.46384340 -12.40425168 3056.89929358 32.32441658
54230.58932270 3.78810367 2.43599117 -7.62996471 3057.99970146 32.31134074
54230.59305200 1.75236328 2.83200945 -9.69133753 3056.15012485 32.18231899
54230.59702027 -1.69602661 2.65530013 -8.68130432 3051.50452385 32.34527534
54230.60067576 0.82189517 3.35818206 -10.27664046 3043.66995745 32.17639550
54230.60453873 -1.45987363 3.19198940 -13.95698458 3046.46770331 32.17198283
54230.60843838 3.35690195 3.80336320 -15.37330894 3056.47518128 32.12334946
54230.61226637 4.85887252 3.89761301 -15.04452167 3057.07420358 32.04081056
54230.61612810 5.85931806 4.49106618 -15.47488433 3066.49778873 32.03414301
54230.61985242 0.33403595 4.38306871 -15.28119272 3054.08240610 31.98873122
54230.62375032 7.49644488 4.18997972 -16.00861066 3059.11563817 32.03284701
54230.62761549 0.00000000 3.18384511 -16.69173497 3056.62308517 32.15185319
54230.63140982 1.21413766 3.01636406 -12.59844823 3058.53345519 32.25586220
54230.63523853 2.56661896 2.66894968 -8.04398718 3056.55971893 32.23599344
54230.63940555 4.16981300 2.69898024 -22.11168359 3050.48758924 32.29568622
54230.64316298 -1.76019913 2.56952279 -12.48307875 3050.90699856 32.32871282
54230.64699333 2.62863577 2.64931047 -10.08281064 3050.30131587 32.31388993
54230.65089330 -1.39462604 2.57297606 -15.41650439 3049.06469273 32.31187639
54230.65461983 -1.48806787 2.74162925 -17.05554094 3059.91587261 32.26826247
54230.65851949 -2.96757456 2.94943636 -6.69431392 3050.45431521 32.22699469
54234.55326612 -4.72317119 2.12579653 -4.03104561 3052.59734999 32.47909401
54253.54514063 14.74593589 1.88419847 -10.94475677 3061.23803197 32.20065119
54254.51121878 -6.30617211 2.20780729 -10.43517305 3056.30642307 32.23511603
54255.51638693 -11.94350597 2.12427123 -8.41766568 3058.45578631 32.48437112
54259.48729841 4.05614149 1.21657018 -10.28226743 3052.45449632 32.51750801
54291.48852598 -8.97422872 4.08086556 -5.67172116 3064.25169913 32.00910376
54292.47485962 -17.56904753 1.51598525 -6.92677016 3051.05814805 32.45998811
54293.45153674 13.03337570 1.21412364 -8.22537636 3051.50434428 32.41643361
54294.45082127 -14.00467444 1.78921282 -9.03183087 3040.02749421 32.06613752
54296.47667626 7.42054619 2.62268479 -2.06563370 3053.31011157 32.21198406
54297.45369809 -18.65328842 1.59856409 -6.68306817 3053.52571885 32.26928339
54478.85269268 7.45602195 1.51920321 -8.77100204 3050.53887363 32.48482901
54478.87821506 7.43202921 1.47539907 -8.91800771 3049.14845758 32.41711689
54479.86533397 -18.26558611 1.81401212 -11.96463696 3053.48256303 32.42770386
54479.87600419 -16.99776145 1.70540785 -8.48915368 3049.24060479 32.43506640
54480.85896295 9.99173098 1.56088710 -8.81261432 3056.61176176 32.46172947
54480.87036829 12.57004354 1.91023361 -8.92139362 3056.39697140 32.34755286
54481.86307159 -3.46461637 1.57479451 -7.41497412 3055.28148997 32.44213518
54481.87364480 -4.83804815 1.46968072 -8.10844300 3052.91304150 32.45358657
54482.85390110 -14.93658786 1.78988973 -7.13738962 3049.44680856 32.45252194
54482.86467848 -13.06492392 1.76636202 -9.37617646 3047.90375884 32.44347314
54483.85220973 17.68155719 1.67384217 -10.39562923 3049.75654478 32.42269371
54483.86330193 19.11965532 1.49319196 -6.19848298 3052.83111668 32.43330202
54485.85739770 -2.02047264 1.67260448 -9.23519790 3047.89965654 32.44442640
54485.86849405 -1.23215266 1.67947897 -8.65619343 3049.46938452 32.48639699
54486.85420884 4.48043184 1.82908697 -10.62600435 3050.13127897 32.39972109
54486.86436958 5.92648758 2.04559174 -12.57377461 3053.48448511 32.32477813
54487.85200187 -15.50898987 2.30027958 -1.04117065 3053.38751007 32.24150215
54487.86280407 -15.76150955 1.86005677 -7.98931699 3052.11124329 32.23876032
54488.85490063 13.38237761 1.97318969 -11.97543140 3045.78129008 32.17488824
54522.83863361 -1.66523234 2.39691296 -13.41146516 3048.86372932 32.43484690
54523.78975550 9.59101811 1.82140927 -14.80249022 3053.10721084 32.36906306
54524.79002625 -17.11698003 1.31946524 -5.83827071 3051.24912432 32.49570237
54525.81313604 14.61073779 1.98102683 -10.93096940 3051.96830695 32.35779376
54526.76352606 -4.61827371 1.33142714 -11.01474771 3046.07571479 32.53070644
54527.75184218 -15.39402264 1.56508785 -9.08517942 3049.16857385 32.44401664
54528.71718048 15.67448974 1.44107036 -8.10590640 3051.04174773 32.50185293
54529.81228743 -10.63192191 1.64273527 -9.83856945 3044.36912132 32.51062368
54530.77734658 -4.01523350 1.58250454 -8.55865772 3051.31706097 32.44921996
54548.70314586 -16.72065596 1.29366471 -9.06113708 3051.07827357 32.29180522
54549.69748183 15.06793512 2.02149088 -9.17128514 3046.84713409 31.89867449
54551.71905524 -9.90368665 1.53966078 -7.28128111 3051.52858907 32.36608485
54553.69802767 -16.31098951 1.03510747 -8.28709049 3049.88874055 32.50323686
54557.65825701 16.26908049 1.96587792 -7.24017583 3054.44639465 32.38222786
54562.64482382 4.34089854 1.58720273 -8.69906275 3048.82043211 32.43173624
54564.64731133 -15.74695785 2.25085357 -7.89746383 3050.09035345 32.42700667
54567.56602851 -11.56579100 1.10096412 -4.68926056 3048.64021039 32.56062097
54567.73496278 -4.98776113 1.31032920 -8.92650982 3049.39195707 32.48024297
54568.57067930 16.18147287 1.31585292 -9.65068053 3050.08227066 32.47073932
54568.69141585 12.35372251 1.49525245 -5.95165123 3053.71663450 32.47229154
54569.62872512 -15.90193974 1.22787071 -8.93038415 3048.56157026 32.54016497
54570.63768946 6.21984944 1.40977323 -7.14716040 3052.47203353 32.50075913
54571.60951262 0.13101760 1.68627552 -6.54051524 3049.30237216 32.43632778
54593.55198165 -19.03014447 1.53305523 -6.80762963 3059.67463429 32.42756907
54610.47892216 17.09548853 1.99962739 -10.60158051 3050.89628351 32.46087242
54610.56276372 19.36957827 1.90049300 -7.08095243 3050.22899678 32.45989270
54611.55726725 -9.33960966 1.73854840 -10.32069510 3055.90530962 32.49865962
54616.48068277 -5.84068381 2.78365097 -11.92598643 3059.86672679 32.43725535
54832.87675754 14.73042536 2.10753150 -6.95832497 3040.98431770 31.85592114
54848.87118865 12.96477850 1.66368536 -10.86905752 3048.63973671 32.42192163
54854.84694119 -9.23550358 1.78031518 -6.90210723 3055.44250623 32.41497014
54878.78967186 -13.87013121 1.47627956 -11.65001922 3049.02253375 32.50388157
54879.79229426 -0.79604299 2.86621652 -12.14236985 3056.15647471 32.39933298
54880.79826608 3.28921087 3.69613402 -5.33659124 3053.62928317 32.42700000
54880.81468291 0.50274124 2.33049600 -4.70096604 3056.42854963 32.37077617
54881.78782545 -18.37502509 1.64312018 -6.45651999 3052.27734535 32.48653483
54882.78465046 14.00703047 1.98232409 -7.26096784 3053.86503732 32.48249721
54883.79460528 -5.25448611 1.44455826 -12.32292822 3053.54296128 32.48464975
54884.77327909 -16.39161657 2.62778465 -7.75189565 3061.26689866 32.26033735
54885.79287819 13.87200424 1.37953311 -12.34698843 3051.01267367 32.51485994
54886.77123076 -17.27540834 1.91615902 -8.96103413 3050.00226835 32.39328855
54913.68855437 -15.18669656 1.47221758 -8.04173872 3053.25215572 32.42337322
54914.70859398 21.89708978 1.67411466 -8.59289459 3055.16083550 32.43926876
54915.68775748 -11.38426781 1.80736361 -10.39792842 3049.79907003 32.44741441
54916.69292953 -9.44549287 1.51971798 -9.00771775 3052.66241765 32.42984462
54917.68022248 11.99549145 1.69821021 -9.97803006 3054.92924092 32.40657841
54918.72787189 -15.20745241 1.63714912 -10.01396553 3053.54793943 32.39735990
54919.66298094 7.73246607 1.72424350 -8.40898125 3053.63280890 32.39900888
54920.70744540 2.06683505 1.53676393 -8.74385485 3051.33150555 32.41139145
54932.64335477 -4.06688001 2.45949168 -7.90315875 3044.63497026 32.13484389
54933.63867150 6.67830872 1.81932430 -11.94375550 3049.04299201 32.35969239
54934.62725909 -17.17172756 1.66576442 -7.94017603 3051.28422809 32.42426607
54936.63242283 1.08381819 2.80498882 -20.08873715 3057.05283574 32.12368385
54937.61224114 -14.41008506 2.15609194 -11.72038477 3054.66156919 32.30875022
54938.62351836 18.19080641 1.48882975 -10.69676419 3052.39347160 32.38392949
54939.64007970 -13.82507426 2.80983633 -8.46154382 3053.67224886 32.27697043
54940.61510305 -1.57612027 2.62019339 -9.45008987 3044.39956662 32.32175210
54941.62296507 5.23580581 1.55166620 -9.98132315 3050.15038890 32.42832004
54946.60517818 17.18346331 1.29298041 -8.65009688 3050.93191735 32.42637491
54949.58281598 0.95852121 1.53680793 -7.32600816 3047.09179003 32.42946496
54950.58399044 -14.92043753 1.43709903 -12.03736906 3051.30699473 32.43682766
54953.58922544 -8.64974536 1.77553266 -6.36629133 3052.46017683 32.29237044
54954.58379268 17.67412668 1.53073176 -10.44889263 3055.79359881 32.38721135
54955.58239988 -13.07192767 1.57750998 -5.17361690 3054.85792026 32.40079165
54956.58363675 6.62073100 2.25992293 -8.88831106 3055.56843671 32.27813540
54990.49882509 -15.03420037 2.00165096 -14.26997911 3054.34017778 32.26284157
54991.51075902 18.25883982 1.65666650 -9.25687956 3046.45182150 32.48493753
54993.46558455 -3.06538239 1.54105816 -9.35224326 3052.45684314 32.47267204
54998.46541886 -11.00826352 2.63386763 -10.14134660 3056.76784782 32.41065004
54999.45629502 17.42090256 2.30650181 -8.22691230 3050.02686283 32.42679424
55272.70295326 -9.83647737 1.99649614 -12.20485241 3053.63414308 32.55744580
55275.70795148 -19.39995358 2.62419264 -7.99084098 3055.47397675 32.40402342
55277.71133057 -6.15424317 2.56125180 -7.89253075 3050.40465056 32.51250266
55278.70343337 -13.94944296 3.73246084 -6.59394974 3065.00814824 32.48962216
55279.68465606 16.61768733 2.18023659 -8.17328891 3048.59496766 32.50228702
55280.70083926 -15.69214365 2.20301692 -7.53489358 3050.52000927 32.49091487
55283.67801760 -16.54753619 1.52410667 -8.13247767 3049.03686835 32.36806161
55287.65615727 19.43021250 1.88830413 -9.38927294 3045.58667451 32.33216382
55292.65024235 19.66022600 5.15672082 -12.24161989 3055.86315720 31.82751577
