BJD RV eRV FWHM eFWHM
2458524.856844 -21364.14049 0.24593 3859.00419 0.49187
2458532.701614 -21363.60942 0.2595 3857.25603 0.51899
2458533.832327 -21365.22412 0.23857 3856.73064 0.47714
2458535.891897 -21366.17706 0.25161 3852.8899 0.50322
2458537.764354 -21367.05085 0.28735 3851.19586 0.57469
2458540.868793 -21364.80698 0.48075 3847.30594 0.96151
2458540.881895 -21364.20675 0.49711 3847.2662 0.99423
2458541.876497 -21363.30037 0.34606 3846.49223 0.69213
2458541.889579 -21363.86223 0.36799 3845.21736 0.73598
2458542.898644 -21361.97871 0.3238 3845.43634 0.64761
2458543.799903 -21363.3783 0.22938 3845.09407 0.45877
2458544.709219 -21363.65108 0.26276 3844.12672 0.52553
2458550.863506 -21365.51016 0.21168 3842.42337 0.42337
2458555.795992 -21364.03706 0.20503 3843.10706 0.41005
2458560.871904 -21366.58209 0.22648 3844.72444 0.45297
2458561.788637 -21365.29524 0.34937 3844.27937 0.69873
2458561.84511 -21365.12678 0.27213 3842.20576 0.54426
2458562.865321 -21365.4349 0.22933 3844.55105 0.45865
2458568.877857 -21363.65436 0.24158 3846.97409 0.48316
2458573.670691 -21364.61109 0.22208 3847.53765 0.44417
2458598.533414 -21360.82653 0.6097 3839.21311 1.21941
2458599.728114 -21358.89502 0.39129 3840.16944 0.78258
2458599.741869 -21360.78495 0.35803 3841.74735 0.71606
2458599.91293 -21360.79207 0.4462 3843.85381 0.89239
2458600.887605 -21361.21001 0.47863 3844.26936 0.95726
2458602.900278 -21362.0964 0.2502 3850.08802 0.5004
2458603.781965 -21362.20258 0.27351 3851.1557 0.54702
2458604.575463 -21361.52844 0.41922 3851.3399 0.83843
2458604.609895 -21361.37411 0.43926 3851.33511 0.87851
2458604.71345 -21361.34255 0.3916 3852.24352 0.7832
2458606.785424 -21362.79106 0.25341 3855.90641 0.50682
2458608.776391 -21361.11066 0.23396 3858.85501 0.46791
2458609.678736 -21360.61991 0.31809 3857.54112 0.63618
2458612.853163 -21363.22781 0.35827 3861.01341 0.71653
2458614.496342 -21365.47101 0.43541 3859.49146 0.87083
2458616.558988 -21366.33985 0.24463 3860.22559 0.48927
2458622.647677 -21364.41856 0.26777 3852.9972 0.53554
2458624.752261 -21365.73062 0.38091 3849.14824 0.76181
2458625.750234 -21365.80174 0.32509 3848.83818 0.65018
2458626.609047 -21366.78051 0.26002 3847.86088 0.52004
2458628.765921 -21365.95489 0.3029 3846.10647 0.60579
2458633.532403 -21362.97154 0.24385 3844.57643 0.4877
2458635.789497 -21363.90068 0.44454 3844.53925 0.88907
2458637.48072 -21366.14487 0.27033 3845.99234 0.54066
2458638.604008 -21365.90664 0.27561 3846.75401 0.55123
2458639.672124 -21365.17513 0.35704 3844.37174 0.71408
2458642.710637 -21364.69167 0.21864 3846.59506 0.43728
2458645.576129 -21363.17299 0.35658 3843.70158 0.71316
2458645.625267 -21362.87939 0.45968 3843.36092 0.91936
2458647.710441 -21366.79463 0.51043 3843.72416 1.02086
2458667.580224 -21363.0226 0.37706 3838.18805 0.75413
2458678.597355 -21360.87856 0.20762 3837.4106 0.41524
2458684.580098 -21360.64027 0.2194 3844.3898 0.43879
2458688.514768 -21358.26595 0.30227 3850.41031 0.60455
2458700.565095 -21360.65811 0.27817 3865.2441 0.55633
2458706.494058 -21363.30218 0.20653 3860.00873 0.41307
2458716.505247 -21362.92547 0.19555 3844.92996 0.39109
2458718.511607 -21362.8666 0.27171 3843.05652 0.54341
2458720.496631 -21361.82084 0.29405 3844.35851 0.58811
2458726.484859 -21362.21803 0.38107 3844.28813 0.76214
2458731.484508 -21360.56212 0.21477 3846.14194 0.42954
