Time RV eRV BIS FWHM Contrast
52937.54807136 5.05067793 0.62752764 -55.31632201 6728.50198839 53.51423300
53149.83915923 -2.09400811 0.68862833 -59.21368513 6725.48862041 53.46219991
53149.91754728 -0.73500719 0.66114570 -58.76448932 6723.73543698 53.47811886
53150.81787706 -0.29299994 0.91582034 -56.23853141 6723.06370652 53.48853513
53157.85605970 4.30960021 0.75443742 -53.05802677 6723.52657812 53.49184779
53288.51173740 4.23204174 1.10467336 -60.77631218 6727.31588544 53.53971730
53288.51281684 2.64047345 1.05709568 -60.15238171 6728.62991133 53.54726716
53288.51386572 3.44928016 1.06815070 -60.05408485 6725.97026938 53.53062967
53288.51491264 2.75220897 1.08279027 -56.66090424 6725.35853197 53.53103686
53288.51596348 3.24322290 1.26215799 -60.60131498 6729.56534174 53.51372991
53288.51701943 4.30713836 1.17116347 -53.74838316 6728.75548990 53.52097577
53288.51809482 2.70994953 1.04158530 -62.64137017 6727.91109137 53.49098496
53288.51913676 3.49921704 1.06946240 -58.96106621 6722.30186010 53.56723238
53288.52020196 5.42035456 1.08445848 -60.37243754 6723.73070352 53.53596656
53288.52127213 1.22171296 1.09991443 -60.86312791 6729.96127780 53.52860713
53289.55156685 -0.55543625 1.04700218 -60.43843028 6724.21360450 53.59890823
53289.55261423 -0.72645529 0.96687779 -60.31500894 6727.56348162 53.57369558
53289.55366033 -0.32838464 1.01088859 -59.62470650 6725.93575950 53.57957026
53290.51728146 1.65787213 1.44935042 -57.66480757 6733.41646921 53.62598842
53290.51842740 0.04182847 1.35280997 -61.53952441 6732.94099643 53.62263502
53290.51935793 0.31691696 1.42576786 -61.52852961 6726.63939344 53.64704491
53290.52040944 -3.27743470 1.41622858 -58.39422022 6727.99505857 53.63716867
53290.52147893 2.14911578 1.61626428 -61.81139379 6727.03789787 53.61438084
53290.52248708 -0.21795539 1.64467912 -60.54395397 6731.22313260 53.65056631
53290.52357749 -2.38539722 1.78793014 -57.06735025 6731.66958017 53.60881389
53290.52463087 1.34637222 1.84652820 -54.84358196 6731.66413131 53.66095768
53290.52568668 0.04027575 1.58021676 -59.66019445 6727.61460279 53.67270322
53290.52672085 -2.86880358 1.71702174 -51.01912234 6729.48125922 53.61341767
53293.49198389 0.05941590 1.45366453 -58.11119597 6727.38786902 53.54763824
53293.49303103 -0.79545243 1.45092213 -58.13323275 6728.04857120 53.53108218
53293.49412504 0.18038118 1.29596433 -59.75703432 6724.43769633 53.53458279
53293.49520724 -3.91540589 1.30379145 -61.70976295 6732.11331286 53.51080684
53293.49624118 -0.74293277 1.47125341 -54.61225190 6726.15127536 53.55658293
53293.49725395 -1.65905897 1.25079949 -55.65413224 6724.89348704 53.53341581
53293.49838014 -3.73395399 1.29996519 -59.89292671 6733.04093358 53.52321987
53293.49942195 -1.74806399 1.27282635 -56.40535870 6730.83730881 53.55747270
53294.48764706 -1.43080362 0.94164355 -58.08848433 6730.23929363 53.50817696
53294.48959863 -4.23887977 0.85728748 -58.44391627 6729.31071059 53.54639263
53294.49147271 0.16409386 0.85771165 -61.79831002 6730.39792500 53.52476708
53294.49350708 -3.79234142 0.83784756 -58.48798178 6730.65184603 53.52200047
53294.49545447 -2.57451994 0.84120912 -57.24651508 6727.68265878 53.54297845
53295.50972057 -2.02199102 0.92638048 -62.62204738 6728.47242397 53.64423177
53295.51076736 -4.89110633 0.91814899 -59.13536222 6721.45270454 53.67382485
53295.51183750 -5.85293698 0.96677281 -56.56033322 6722.34444837 53.67471825
53295.51288038 -1.39673524 0.93069912 -59.61523568 6726.11296215 53.67781660
53295.51394349 -3.91881344 0.97088352 -59.71007301 6724.08650282 53.66786401
53295.51499399 -5.89016548 0.94921992 -59.09423499 6724.79572249 53.65983411
53295.51604379 -6.62746662 0.96326226 -60.09484968 6726.80613234 53.66221630
